# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-04-22 02:39:55 -04:00	(natwebcaas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08110000 Yegua Ck nr Somerville, TX
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
# IV_TS_ID - An internal number representing the Instantaneous Value time series from which the daily statistic is calculated.
#
# Data provided for site 08110000
#    TS_ID       Parameter    Statistic  IV_TS_ID       Description
#    135366      00060        00001      140934         Discharge, cubic feet per second (Maximum)
#    135367      00060        00002      140934         Discharge, cubic feet per second (Minimum)
#    135368      00060        00003      140934         Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	135366_00060_00001	135366_00060_00001_cd	135367_00060_00002	135367_00060_00002_cd	135368_00060_00003	135368_00060_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	08110000	1949-01-01					0.00	A
USGS	08110000	1949-01-02					0.00	A
USGS	08110000	1949-01-03					0.00	A
USGS	08110000	1949-01-04					0.00	A
USGS	08110000	1949-01-05					0.00	A
USGS	08110000	1949-01-06					0.00	A
USGS	08110000	1949-01-07					0.00	A
USGS	08110000	1949-01-08					0.00	A
USGS	08110000	1949-01-09					0.00	A
USGS	08110000	1949-01-10					0.00	A
USGS	08110000	1949-01-11					0.00	A
USGS	08110000	1949-01-12					0.00	A
USGS	08110000	1949-01-13					0.00	A
USGS	08110000	1949-01-14					0.00	A
USGS	08110000	1949-01-15					0.00	A
USGS	08110000	1949-01-16					0.00	A
USGS	08110000	1949-01-17					0.00	A
USGS	08110000	1949-01-18					0.00	A
USGS	08110000	1949-01-19					0.00	A
USGS	08110000	1949-01-20					0.00	A
USGS	08110000	1949-01-21					0.10	A
USGS	08110000	1949-01-22					13.0	A
USGS	08110000	1949-01-23					15.0	A
USGS	08110000	1949-01-24					23.0	A
USGS	08110000	1949-01-25					11.0	A
USGS	08110000	1949-01-26					5.20	A
USGS	08110000	1949-01-27					26.0	A
USGS	08110000	1949-01-28					128	A
USGS	08110000	1949-01-29					164	A
USGS	08110000	1949-01-30					93.0	A
USGS	08110000	1949-01-31					60.0	A
USGS	08110000	1949-02-01					72.0	A
USGS	08110000	1949-02-02					57.0	A
USGS	08110000	1949-02-03					36.0	A
USGS	08110000	1949-02-04					22.0	A
USGS	08110000	1949-02-05					13.0	A
USGS	08110000	1949-02-06					10.0	A
USGS	08110000	1949-02-07					6.50	A
USGS	08110000	1949-02-08					4.50	A
USGS	08110000	1949-02-09					3.90	A
USGS	08110000	1949-02-10					3.00	A
USGS	08110000	1949-02-11					2.20	A
USGS	08110000	1949-02-12					1.80	A
USGS	08110000	1949-02-13					1.50	A
USGS	08110000	1949-02-14					1.30	A
USGS	08110000	1949-02-15					1.20	A
USGS	08110000	1949-02-16					0.90	A
USGS	08110000	1949-02-17					0.70	A
USGS	08110000	1949-02-18					0.60	A
